,metric,sample,value,cell_type_level,cell_type,hierarchy
5,recall,NL01,0.3727810650887574,cell_type_level_1,Dendritic cell,final_gate_3
6,recall,NL03,0.3561643835616438,cell_type_level_1,Dendritic cell,final_gate_3
7,recall,NL05,0.265625,cell_type_level_1,Dendritic cell,final_gate_3
8,recall,NL07,0.2549019607843137,cell_type_level_1,Dendritic cell,final_gate_3
9,recall,NL09,0.39705882352941174,cell_type_level_1,Dendritic cell,final_gate_3
10,f1score,NL01,0.5431034482758621,cell_type_level_1,Dendritic cell,final_gate_3
11,f1score,NL03,0.5123152709359606,cell_type_level_1,Dendritic cell,final_gate_3
12,f1score,NL05,0.4184615384615385,cell_type_level_1,Dendritic cell,final_gate_3
13,f1score,NL07,0.3939393939393939,cell_type_level_1,Dendritic cell,final_gate_3
14,f1score,NL09,0.5567010309278351,cell_type_level_1,Dendritic cell,final_gate_3
0,precision,NL01,1.0,cell_type_level_1,Dendritic cell,final_gate_4
1,precision,NL03,1.0,cell_type_level_1,Dendritic cell,final_gate_4
2,precision,NL05,1.0,cell_type_level_1,Dendritic cell,final_gate_4
3,precision,NL07,1.0,cell_type_level_1,Dendritic cell,final_gate_4
4,precision,NL09,1.0,cell_type_level_1,Dendritic cell,final_gate_4
5,recall,NL01,0.3609467455621302,cell_type_level_1,Dendritic cell,final_gate_4
6,recall,NL03,0.3493150684931507,cell_type_level_1,Dendritic cell,final_gate_4
7,recall,NL05,0.265625,cell_type_level_1,Dendritic cell,final_gate_4
8,recall,NL07,0.2549019607843137,cell_type_level_1,Dendritic cell,final_gate_4
9,recall,NL09,0.3872549019607843,cell_type_level_1,Dendritic cell,final_gate_4
10,f1score,NL01,0.5304347826086956,cell_type_level_1,Dendritic cell,final_gate_4
11,f1score,NL03,0.5177664974619289,cell_type_level_1,Dendritic cell,final_gate_4
12,f1score,NL05,0.41975308641975306,cell_type_level_1,Dendritic cell,final_gate_4
13,f1score,NL07,0.40625,cell_type_level_1,Dendritic cell,final_gate_4
14,f1score,NL09,0.5583038869257951,cell_type_level_1,Dendritic cell,final_gate_4
0,precision,NL01,0.9884819846426461,cell_type_level_1,Monocyte,final_gate_1
1,precision,NL03,0.968793024323084,cell_type_level_1,Monocyte,final_gate_1
2,precision,NL05,0.9167552249380092,cell_type_level_1,Monocyte,final_gate_1
3,precision,NL07,0.9665071770334929,cell_type_level_1,Monocyte,final_gate_1
